@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
27,tv,alert,locsens,share,nothing,0
27,assis,opauto,coalarm,share,reco,1
27,refr,lochouse,cowash,remserv,reco,1
27,alarm,alert,corefri,remserv,opti,1
27,secu,preshouse,cohvac,remserv,insight,0
27,wash,opauto,cam,locally,nothing,0
27,hvac,opauto,colight,remserv,nothing,0
27,assis,preshouse,watch,locally,insight,1
27,light,lochouse,cotv,share,insight,0
27,wash,preshouse,coassis,share,opti,1
27,tv,lochouse,cosecu,locally,reco,1
27,light,alert,micro,locally,opti,0
1489,light,lochouse,coalarm,share,opti,1
1489,assis,preshouse,cosecu,locally,opti,1
1489,tv,alert,cam,share,reco,0
1489,wash,alert,cotv,remserv,nothing,0
1489,tv,lochouse,corefri,locally,insight,1
1489,refr,lochouse,colight,remserv,insight,0
1489,assis,opauto,locsens,share,insight,0
1489,hvac,opauto,coassis,remserv,reco,1
1489,alarm,opauto,cohvac,locally,reco,0
1489,light,alert,watch,locally,nothing,0
1489,alarm,preshouse,micro,share,nothing,0
1489,secu,preshouse,cowash,remserv,opti,1
1438,wash,preshouse,locsens,share,reco,0
1438,tv,opauto,cowash,remserv,insight,0
1438,light,lochouse,cam,share,nothing,1
1438,hvac,lochouse,watch,locally,opti,0
1438,alarm,alert,colight,remserv,reco,0
1438,refr,opauto,cotv,share,opti,1
1438,light,alert,corefri,locally,reco,0
1438,secu,preshouse,coassis,remserv,nothing,1
1438,wash,opauto,cosecu,locally,insight,0
1438,refr,preshouse,micro,locally,nothing,0
1438,hvac,alert,coalarm,share,insight,1
1438,assis,lochouse,cohvac,remserv,opti,1
1610,tv,lochouse,coassis,share,reco,0
1610,assis,preshouse,colight,share,insight,1
1610,light,lochouse,coalarm,locally,nothing,0
1610,assis,opauto,locsens,locally,opti,1
1610,alarm,opauto,cotv,share,nothing,0
1610,wash,lochouse,cohvac,remserv,nothing,0
1610,alarm,preshouse,micro,locally,reco,0
1610,tv,alert,cam,locally,insight,1
1610,secu,opauto,watch,remserv,opti,1
1610,light,alert,cowash,share,opti,1
1610,refr,alert,cosecu,remserv,insight,0
1610,hvac,preshouse,corefri,remserv,reco,1
1486,light,lochouse,coassis,remserv,reco,1
1486,tv,opauto,watch,locally,nothing,1
1486,hvac,alert,cowash,remserv,opti,0
1486,secu,opauto,cam,share,reco,0
1486,refr,alert,micro,share,nothing,1
1486,refr,lochouse,cohvac,locally,reco,0
1486,tv,preshouse,coalarm,share,opti,0
1486,alarm,alert,cosecu,locally,opti,0
1486,assis,opauto,cotv,remserv,nothing,1
1486,secu,preshouse,corefri,locally,insight,1
1486,alarm,lochouse,locsens,share,insight,0
1486,wash,preshouse,colight,remserv,insight,0
1868,alarm,preshouse,cam,locally,insight,0
1868,light,opauto,cohvac,remserv,nothing,1
1868,alarm,opauto,coassis,share,reco,0
1868,secu,alert,cotv,share,nothing,0
1868,tv,alert,locsens,locally,opti,1
1868,assis,opauto,coalarm,locally,nothing,1
1868,hvac,preshouse,cosecu,remserv,insight,1
1868,wash,lochouse,corefri,remserv,reco,1
1868,tv,lochouse,colight,share,insight,0
1868,secu,lochouse,micro,locally,reco,1
1868,assis,preshouse,cowash,share,opti,0
1868,refr,alert,watch,remserv,opti,1
467,light,alert,locsens,locally,nothing,1
467,assis,preshouse,cam,locally,opti,1
467,tv,lochouse,micro,locally,insight,1
467,alarm,preshouse,coalarm,share,nothing,0
467,refr,lochouse,corefri,remserv,insight,1
467,wash,alert,cowash,remserv,nothing,1
467,light,lochouse,colight,share,opti,0
467,alarm,opauto,watch,locally,reco,1
467,assis,opauto,coassis,share,insight,0
467,hvac,opauto,cohvac,remserv,reco,1
467,tv,alert,cotv,share,reco,0
467,secu,preshouse,cosecu,remserv,opti,1
1230,wash,opauto,coalarm,share,reco,1
1230,assis,alert,corefri,remserv,opti,1
1230,light,alert,locsens,share,nothing,1
1230,alarm,lochouse,cowash,remserv,reco,0
1230,refr,preshouse,coassis,share,opti,1
1230,refr,opauto,cam,locally,nothing,0
1230,secu,opauto,colight,remserv,nothing,0
1230,tv,preshouse,cohvac,remserv,insight,0
1230,wash,preshouse,watch,locally,insight,0
1230,light,lochouse,cosecu,locally,reco,0
1230,hvac,alert,micro,locally,opti,1
1230,hvac,lochouse,cotv,share,insight,1
1978,light,opauto,colight,share,opti,1
1978,alarm,lochouse,coalarm,share,nothing,0
1978,assis,lochouse,cam,locally,opti,1
1978,secu,lochouse,cosecu,remserv,opti,1
1978,light,preshouse,locsens,locally,nothing,1
1978,alarm,alert,watch,locally,reco,1
1978,wash,preshouse,cowash,remserv,nothing,1
1978,hvac,alert,cohvac,remserv,reco,1
1978,assis,alert,coassis,share,insight,0
1978,tv,preshouse,cotv,share,reco,0
1978,tv,opauto,micro,locally,insight,0
1978,refr,opauto,corefri,remserv,insight,0
1714,refr,lochouse,coassis,remserv,opti,1
1714,tv,alert,micro,share,insight,0
1714,assis,opauto,cam,share,opti,0
1714,hvac,opauto,cotv,remserv,insight,1
1714,assis,preshouse,corefri,locally,nothing,1
1714,secu,alert,colight,locally,reco,1
1714,alarm,preshouse,watch,share,reco,0
1714,tv,lochouse,cohvac,locally,opti,1
1714,wash,alert,coalarm,remserv,reco,1
1714,light,preshouse,locsens,remserv,nothing,0
1714,secu,lochouse,cosecu,share,nothing,0
1714,alarm,opauto,cowash,locally,insight,1
1921,wash,lochouse,corefri,share,opti,1
1921,wash,alert,coassis,locally,nothing,1
1921,light,preshouse,cotv,locally,opti,1
1921,light,opauto,cohvac,share,insight,1
1921,assis,lochouse,coalarm,locally,insight,1
1921,alarm,preshouse,cam,remserv,opti,0
1921,hvac,alert,cosecu,remserv,nothing,0
1921,refr,opauto,watch,remserv,reco,0
1921,tv,preshouse,colight,share,nothing,1
1921,tv,opauto,locsens,locally,reco,0
