@relation 'iot_yang_fixed-weka.filters.unsupervised.attribute.Remove-R2-4,6-17-weka.filters.unsupervised.attribute.Reorder-R1,3-8,2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R4'

@attribute sessionId numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
2,assis,preshouse,coalarm,share,reco,0
2,tv,lochouse,locsens,share,nothing,0
2,hvac,preshouse,colight,remserv,nothing,1
2,wash,opauto,coassis,share,opti,0
2,secu,opauto,cohvac,remserv,insight,1
2,refr,alert,cowash,remserv,reco,0
2,light,lochouse,micro,locally,opti,1
2,light,alert,cotv,share,insight,0
2,assis,opauto,watch,locally,insight,1
2,alarm,lochouse,corefri,remserv,opti,0
2,wash,preshouse,cam,locally,nothing,0
2,tv,alert,cosecu,locally,reco,0
7,hvac,opauto,coassis,locally,reco,0
7,refr,lochouse,colight,locally,insight,0
7,assis,opauto,locsens,remserv,reco,0
7,light,lochouse,coalarm,remserv,insight,0
7,wash,preshouse,cotv,remserv,opti,1
7,refr,alert,cosecu,share,reco,0
7,hvac,preshouse,corefri,share,nothing,0
7,alarm,lochouse,micro,share,opti,0
7,alarm,alert,cohvac,locally,nothing,1
7,secu,opauto,watch,share,insight,0
7,secu,preshouse,cowash,locally,opti,0
7,tv,alert,cam,remserv,nothing,1
8,alarm,alert,colight,share,insight,1
8,assis,preshouse,cohvac,remserv,nothing,1
8,hvac,lochouse,watch,remserv,opti,1
8,secu,opauto,cam,locally,insight,1
8,refr,lochouse,cotv,share,nothing,1
8,secu,preshouse,coassis,share,reco,1
8,tv,preshouse,coalarm,locally,nothing,1
8,alarm,lochouse,locsens,locally,opti,1
8,wash,opauto,cosecu,remserv,insight,0
8,tv,opauto,cowash,share,opti,0
8,refr,alert,micro,locally,reco,1
8,light,alert,corefri,remserv,reco,1
12,assis,lochouse,cosecu,remserv,nothing,0
12,tv,alert,corefri,share,opti,1
12,light,preshouse,watch,remserv,reco,0
12,tv,lochouse,coassis,locally,nothing,1
12,refr,preshouse,locsens,locally,reco,1
12,hvac,opauto,cam,remserv,opti,0
12,secu,alert,coalarm,locally,insight,0
12,refr,opauto,colight,share,nothing,1
12,wash,alert,micro,remserv,insight,0
12,alarm,preshouse,cohvac,share,insight,0
12,alarm,opauto,cotv,locally,opti,0
12,secu,lochouse,cowash,share,reco,0
13,tv,preshouse,corefri,share,reco,0
13,hvac,alert,cam,remserv,reco,0
13,tv,opauto,coassis,locally,insight,0
13,secu,lochouse,coalarm,remserv,opti,1
13,wash,preshouse,micro,remserv,nothing,1
13,alarm,alert,cotv,locally,reco,1
13,assis,lochouse,colight,locally,opti,1
13,light,opauto,watch,share,opti,0
13,assis,alert,cosecu,share,insight,0
13,light,preshouse,cowash,locally,nothing,1
13,refr,opauto,locsens,remserv,insight,0
13,alarm,lochouse,cohvac,share,nothing,0
16,tv,opauto,colight,remserv,nothing,1
16,alarm,opauto,cam,locally,nothing,0
16,assis,lochouse,cowash,remserv,reco,0
16,refr,preshouse,watch,locally,insight,0
16,light,preshouse,cohvac,remserv,insight,1
16,hvac,alert,locsens,share,nothing,0
16,secu,lochouse,cotv,share,insight,0
16,alarm,preshouse,coassis,share,opti,0
16,refr,opauto,coalarm,share,reco,1
16,hvac,lochouse,cosecu,locally,reco,1
16,secu,alert,micro,locally,opti,0
16,wash,alert,corefri,remserv,opti,0
18,light,alert,colight,locally,insight,1
18,wash,preshouse,watch,share,insight,0
18,assis,preshouse,coassis,locally,reco,1
18,refr,lochouse,cam,remserv,nothing,0
18,hvac,lochouse,cohvac,locally,nothing,1
18,wash,opauto,cowash,locally,opti,1
18,secu,preshouse,locsens,remserv,reco,0
18,light,lochouse,cosecu,share,reco,0
18,assis,opauto,corefri,share,nothing,0
18,hvac,alert,micro,share,opti,0
18,alarm,alert,coalarm,remserv,insight,1
18,tv,opauto,cotv,remserv,opti,1
22,hvac,preshouse,locsens,remserv,insight,1
22,alarm,preshouse,coassis,locally,insight,1
22,assis,preshouse,watch,share,opti,0
22,light,opauto,micro,remserv,nothing,1
22,assis,opauto,cowash,locally,nothing,1
22,tv,alert,colight,locally,opti,1
22,tv,lochouse,cosecu,share,insight,0
22,secu,lochouse,cotv,locally,reco,1
22,secu,alert,cohvac,share,nothing,1
22,wash,lochouse,cam,remserv,reco,0
22,alarm,opauto,corefri,share,reco,0
22,refr,alert,coalarm,remserv,opti,0
26,assis,preshouse,watch,locally,nothing,1
26,secu,alert,cohvac,locally,reco,0
26,tv,alert,locsens,share,insight,0
26,wash,alert,coassis,remserv,reco,1
26,refr,lochouse,cowash,remserv,opti,0
26,assis,opauto,coalarm,share,opti,0
26,alarm,preshouse,cam,share,reco,0
26,secu,lochouse,micro,share,nothing,0
26,light,preshouse,cotv,remserv,nothing,0
26,alarm,opauto,corefri,locally,insight,0
26,tv,lochouse,cosecu,locally,opti,1
26,hvac,opauto,colight,remserv,insight,0
28,hvac,opauto,cam,remserv,nothing,0
28,secu,preshouse,coalarm,remserv,insight,0
28,light,alert,cowash,locally,opti,1
28,assis,opauto,cosecu,share,reco,0
28,assis,preshouse,colight,locally,insight,1
28,tv,lochouse,coassis,locally,reco,0
28,wash,opauto,cohvac,locally,nothing,1
28,wash,preshouse,micro,share,opti,0
28,light,lochouse,watch,share,insight,1
28,alarm,alert,cotv,remserv,opti,0
28,refr,lochouse,locsens,remserv,reco,1
28,tv,alert,corefri,share,nothing,0
31,secu,opauto,coassis,remserv,nothing,0
31,tv,preshouse,cowash,remserv,insight,0
31,light,alert,cam,share,nothing,0
31,refr,opauto,micro,locally,nothing,1
31,refr,preshouse,cotv,share,opti,0
31,light,lochouse,corefri,locally,reco,0
31,wash,opauto,locsens,share,reco,0
31,alarm,lochouse,colight,remserv,reco,1
31,hvac,lochouse,coalarm,share,insight,0
31,hvac,alert,watch,locally,opti,1
31,wash,preshouse,cosecu,locally,insight,1
31,assis,alert,cohvac,remserv,opti,1
41,alarm,lochouse,cam,share,insight,0
41,tv,opauto,cosecu,locally,nothing,0
41,refr,lochouse,cowash,locally,reco,0
41,light,lochouse,cotv,remserv,reco,0
41,secu,opauto,micro,share,reco,0
41,assis,opauto,coalarm,remserv,nothing,0
41,hvac,alert,colight,remserv,opti,0
41,tv,preshouse,locsens,share,opti,0
41,secu,preshouse,cohvac,locally,insight,0
41,refr,alert,watch,share,nothing,0
41,wash,preshouse,coassis,remserv,insight,0
41,alarm,alert,corefri,locally,opti,0
46,tv,opauto,watch,share,nothing,1
46,assis,alert,cohvac,locally,insight,1
46,light,preshouse,cam,share,insight,1
46,light,opauto,corefri,locally,opti,1
46,secu,alert,coassis,remserv,insight,1
46,refr,preshouse,cotv,remserv,reco,0
46,assis,lochouse,micro,share,reco,0
46,tv,preshouse,cowash,locally,reco,0
46,hvac,lochouse,coalarm,remserv,nothing,1
46,wash,alert,locsens,share,opti,0
46,wash,lochouse,cosecu,locally,nothing,0
46,alarm,opauto,colight,remserv,opti,0
47,hvac,lochouse,cosecu,remserv,insight,0
47,light,alert,cohvac,remserv,nothing,1
47,tv,preshouse,locsens,locally,opti,1
47,assis,alert,coalarm,locally,nothing,1
47,tv,opauto,colight,share,insight,0
47,alarm,alert,coassis,share,reco,0
47,alarm,lochouse,cam,locally,insight,1
47,wash,opauto,corefri,remserv,reco,0
47,secu,preshouse,cotv,share,nothing,0
47,refr,preshouse,watch,remserv,opti,0
47,secu,opauto,micro,locally,reco,1
47,assis,lochouse,cowash,share,opti,0
51,tv,preshouse,corefri,locally,insight,1
51,hvac,lochouse,coassis,remserv,reco,0
51,alarm,alert,micro,share,nothing,1
51,refr,preshouse,colight,remserv,insight,1
51,light,opauto,watch,locally,nothing,1
51,alarm,lochouse,cohvac,locally,reco,1
51,assis,lochouse,locsens,share,insight,0
51,assis,alert,cosecu,locally,opti,1
51,tv,opauto,cam,share,reco,0
51,light,preshouse,coalarm,share,opti,0
51,wash,opauto,cotv,remserv,nothing,1
51,secu,alert,cowash,remserv,opti,1
53,tv,opauto,micro,share,opti,1
53,hvac,lochouse,cotv,remserv,opti,0
53,light,alert,locsens,remserv,reco,0
53,secu,opauto,colight,locally,insight,1
53,secu,preshouse,cosecu,share,reco,0
53,refr,lochouse,corefri,share,nothing,0
53,alarm,lochouse,cowash,locally,opti,0
53,alarm,alert,watch,share,insight,0
53,tv,preshouse,cohvac,locally,nothing,0
53,wash,opauto,coalarm,remserv,insight,0
53,assis,preshouse,cam,remserv,nothing,1
53,refr,alert,coassis,locally,reco,0
54,light,lochouse,corefri,share,insight,0
54,tv,alert,cowash,share,nothing,1
54,wash,opauto,colight,locally,nothing,1
54,assis,opauto,cohvac,share,reco,0
54,assis,preshouse,cotv,locally,insight,1
54,wash,preshouse,cosecu,share,opti,1
54,secu,preshouse,cam,remserv,insight,1
54,light,alert,coassis,locally,opti,1
54,tv,lochouse,coalarm,locally,reco,1
54,alarm,alert,locsens,remserv,opti,1
